번호,과속방지턱관리번호,도로명,시도명,시군구명,소재지도로명주소,소재지지번주소,설치장소,과속방지턱재료,과속방지턱형태구분,과속방지턱높이,과속방지턱폭,과속방지턱연장,도로유형구분,규격여부,WGS84위도,WGS84경도,보차분리여부,연속형여부,과속방지턱설치연도,관리기관명,관리기관전화번호,데이터기준일자
30,9,청학남로,부산광역시,영도구,부산광역시 영도구 청학남로 48,부산광역시 영도구 청학동 99-294,롯데 낙천대(정문),아스팔트 콘크리트,원호형,10,6,3.6,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
31,10,청학남로,부산광역시,영도구,부산광역시 영도구 청학남로 48,부산광역시 영도구 청학동 99-294,롯데 낙천대,아스팔트 콘크리트,원호형,10,9,3.6,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
32,11,청학남로,부산광역시,영도구,부산광역시 영도구 청학남로 48,부산광역시 영도구 청학동 99-294,롯데 낙천대,아스팔트 콘크리트,원호형,10,9,3.6,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
33,12,조내기로,부산광역시,영도구,부산광역시 영도구 조내기로 39,부산광역시 영도구 청학동 85,일신마리나 <-> 쌍용골프클럽 사이,아스팔트 콘크리트,원호형,10,6.5,3.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
34,13,조내기로,부산광역시,영도구,부산광역시 영도구 조내기로 39,부산광역시 영도구 청학동 85,일신 마리나,아스팔트 콘크리트,원호형,10,6.7,3.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
35,14,청학남로,부산광역시,영도구,부산광역시 영도구 청학남로 23-1,부산광역시 영도구 청학동 457-38,청학남로 23-1 앞,아스팔트 콘크리트,원호형,10,6,3.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
36,15,와치로,부산광역시,영도구,부산광역시 영도구 와치로 18,부산광역시 영도구 청학2동 465-1,은혜 헤어라인 앞,아스팔트 콘크리트,원호형,10,5.3,3.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
37,16,와치로,부산광역시,영도구,부산광역시 영도구 와치로 23,부산광역시 영도구 청학동 460-2,청운 아파트 앞,아스팔트 콘크리트,원호형,9,5.4,3.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
38,17,와치로,부산광역시,영도구,부산광역시 영도구 와치로 36,부산광역시 영도구 청학동 475-4,항만소방서<->청학배수지 사이,아스팔트 콘크리트,원호형,10,5.8,3,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
39,18,와치로,부산광역시,영도구,부산광역시 영도구 와치로 36,부산광역시 영도구 청학동 475-4,세양 쉬에당 102동 앞,아스팔트 콘크리트,원호형,9,7,3.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
40,19,와치로,부산광역시,영도구,부산광역시 영도구 와치로 36,부산광역시 영도구 청학동 475-4,세양 쉬에당 104동 앞,아스팔트 콘크리트,원호형,10,7,3.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
41,20,벚꽃길,부산광역시,영도구,부산광역시 영도구 벚꽃길 13,부산광역시 영도구 청학동 482-4,벚꽃길 13 앞,아스팔트 콘크리트,원호형,10,4.3,4,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
42,21,벚꽃길,부산광역시,영도구,부산광역시 영도구 벚꽃길 13,부산광역시 영도구 청학동 482-4,영도축구연합회 앞,아스팔트 콘크리트,원호형,10,3.6,3.4,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
43,22,와치로,부산광역시,영도구,부산광역시 영도구 와치로 78,부산광역시 영도구 청학동 483-1,청학 농예원 앞,아스팔트 콘크리트,원호형,10,6,3.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
44,23,청학남로,부산광역시,영도구,부산광역시 영도구 청학남로29번길 26,부산광역시 영도구 청학동 152-9,동해맨션 앞,아스팔트 콘크리트,가상형,0,6.5,3.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
45,24,청학남로,부산광역시,영도구,부산광역시 영도구 청학남로 29번길 31,부산광역시 영도구 청학동 154-2,청학남로 29번길 31 앞,아스팔트 콘크리트,가상형,0,6.2,4,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
46,25,와치로,부산광역시,영도구,부산광역시 영도구 와치로 4-2,부산광역시 영도구 청학동 466-26,청산식육점 앞,아스팔트 콘크리트,원호형,10,6,4.2,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
47,26,청학서로,부산광역시,영도구,부산광역시 영도구 청학서로32번길 1,부산광역시 영도구 청학동 386-187,상광석유 앞,아스팔트 콘크리트,원호형,10,6.3,3.6,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
48,27,청학서로,부산광역시,영도구,부산광역시 영도구 청학서로32번길 1,부산광역시 영도구 청학동 386-187,참마음 의원 앞,아스팔트 콘크리트,원호형,10,6.7,2.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
49,28,청학서로,부산광역시,영도구,부산광역시 영도구 청학로 49,부산광역시 영도구 청학동 412-3,청학 초등학교 앞,아스팔트 콘크리트,원호형,10,7,3.8,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
50,29,청학로,부산광역시,영도구,부산광역시 영도구 청학로 49,부산광역시 영도구 청학동 412-3,청학 초등학교 앞,아스팔트 콘크리트,원호형,8,8,4,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
51,30,청학로,부산광역시,영도구,부산광역시 영도구 청학로 49,부산광역시 영도구 청학동 412-3,청학 초등학교 앞,아스팔트 콘크리트,원호형,8,8.6,3.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
52,31,청학로,부산광역시,영도구,부산광역시 영도구 청학로 25,부산광역시 영도구 청학동 155-87,청학로 25 앞,아스팔트 콘크리트,원호형,8,6,4.4,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
53,32,청학로,부산광역시,영도구,부산광역시 영도구 청학로 16,부산광역시 영도구 청학동 144-14,청학로 16번길 앞,아스팔트 콘크리트,원호형,10,5,3.9,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
54,33,청학로,부산광역시,영도구,부산광역시 영도구 청학로 16,부산광역시 영도구 청학동 144-14,청학로 16번길 앞,아스팔트 콘크리트,원호형,10,5,3.8,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
55,34,청학서로,부산광역시,영도구,부산광역시 영도구 청학서로 1,부산광역시 영도구 청학동 419,영광마린타워 앞,아스팔트 콘크리트,원호형,8,5.9,3.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
56,35,조내기로,부산광역시,영도구,부산광역시 영도구 조내기로 38,부산광역시 영도구 청학동 489-30,원우엔리치빌 아파트 뒷 길,아스팔트 콘크리트,원호형,10,5.3,3.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
57,36,조내기로,부산광역시,영도구,부산광역시 영도구 조내기로 38,부산광역시 영도구 청학동 489-30,원우엔리치빌 아파트 뒷 길,아스팔트 콘크리트,원호형,10,9.6,3.8,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
58,37,와치로,부산광역시,영도구,부산광역시 영도구 와치로 83,부산광역시 영도구 청학동 488-51,"70, 71번 버스 종점",아스팔트 콘크리트,원호형,8,6.3,3.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
59,38,와치로,부산광역시,영도구,부산광역시 영도구 와치로 131,부산광역시 영도구 동삼동 226-118,광명고 정문,아스팔트 콘크리트,원호형,8,6.4,3.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
60,39,와치로,부산광역시,영도구,부산광역시 영도구 와치로 131,부산광역시 영도구 동삼동 226-118,광명고 정문,아스팔트 콘크리트,원호형,8,7,4,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
61,40,와치로,부산광역시,영도구,부산광역시 영도구 와치로 163,부산광역시 영도구 동삼동 225-13,와치로 163,아스팔트 콘크리트,원호형,8,6,3.9,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
62,41,와치로,부산광역시,영도구,부산광역시 영도구 와치로 175,부산광역시 영도구 동삼동 325-232,고신대 후문,아스팔트 콘크리트,원호형,10,9,3.8,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
63,42,와치로,부산광역시,영도구,부산광역시 영도구 와치로 175,부산광역시 영도구 동삼동 325-232,고신대 앞,아스팔트 콘크리트,원호형,10,6.6,3.8,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
64,43,동삼로,부산광역시,영도구,부산광역시 영도구 동삼로 1,부산광역시 영도구 동삼동 385-5,한국해양교회 위,아스팔트 콘크리트,원호형,10,7.85,5,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
65,44,와치로,부산광역시,영도구,부산광역시 영도구 와치로 266,부산광역시 영도구 동삼동 510-27,고신대 <-> 벽산아파트 아파트,아스팔트 콘크리트,원호형,10,3.3,3.5,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
66,45,함지로,부산광역시,영도구,부산광역시 영도구 함지로 79번길 39,부산광역시 영도구 동삼동 510-8,봉삼초등학교 앞,아스팔트 콘크리트,원호형,8,7.4,4,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
67,46,함지로,부산광역시,영도구,부산광역시 영도구 함지로79번길 9,부산광역시 영도구 동삼동 523-1,태종대 중학교 앞,아스팔트 콘크리트,원호형,9,7.5,3.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
68,47,중리북로,부산광역시,영도구,부산광역시 영도구 중리북로21번길 42,부산광역시 영도구 동삼동 514-13,영도여고 삼거리<-> BMC 아파트,아스팔트 콘크리트,원호형,8,7.2,3.8,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
69,48,중리북로,부산광역시,영도구,부산광역시 영도구 중리북로21번길 42,부산광역시 영도구 동삼동 514-13,유한약국 앞,아스팔트 콘크리트,원호형,10,10,4.2,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
70,49,함지로,부산광역시,영도구,부산광역시 영도구 함지로 6,부산광역시 영도구 동삼동 1124-1,탑 세일마트 중리점 앞,아스팔트 콘크리트,원호형,8,9.8,4,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
71,50,중리로,부산광역시,영도구,부산광역시 영도구 중리로 35,부산광역시 영도구 동삼1동 510-30,조은유치원 앞,아스팔트 콘크리트,원호형,8,6,4,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
72,51,함지로,부산광역시,영도구,부산광역시 영도구 중리로 44-1,부산광역시 영도구 동삼동 510-23,동삼1동 주민센터 앞,아스팔트 콘크리트,원호형,10,6.4,4.2,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
73,52,동삼로,부산광역시,영도구,부산광역시 영도구 태종로 321,부산광역시 영도구 청학동 223-1,부산은행 앞,아스팔트 콘크리트,원호형,10,4,4,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
74,53,동삼로,부산광역시,영도구,부산광역시 영도구 태종로 321,부산광역시 영도구 청학동 223-1,부산은행 앞,아스팔트 콘크리트,원호형,10,4,4,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
75,54,중리로,부산광역시,영도구,부산광역시 영도구 와치로 259,부산광역시 영도구 동삼동 331-41,동삼중 와치로 259,아스팔트 콘크리트,원호형,8,8.2,6,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
76,55,중리로,부산광역시,영도구,부산광역시 영도구 와치로 259,부산광역시 영도구 동삼동 331-41,동삼중 및 신흥동백 8차,아스팔트 콘크리트,원호형,8,7.8,5.5,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
77,56,중리로,부산광역시,영도구,부산광역시 영도구 와치로 266,부산광역시 영도구 동삼동 510-27,벽산비치타운 옆,아스팔트 콘크리트,원호형,8,6,4,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
78,57,중리로,부산광역시,영도구,부산광역시 영도구 중리로 24,부산광역시 영도구 동삼동 510-33,국제마마 뉴비치타운 앞,아스팔트 콘크리트,원호형,10,5.8,4,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
79,58,중리로,부산광역시,영도구,부산광역시 영도구 중리로 24,부산광역시 영도구 동삼동 510-33,국제마마 뉴비치타운 앞,아스팔트 콘크리트,원호형,10,6,4.6,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
80,59,중리로,부산광역시,영도구,부산광역시 영도구 중리로 24,부산광역시 영도구 동삼동 510-33,국제마마 뉴비치타운 앞,아스팔트 콘크리트,원호형,8,6,4,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
81,60,중리로,부산광역시,영도구,부산광역시 영도구 중리로 24,부산광역시 영도구 동삼동 510-33,국제마마 뉴비치타운 앞,아스팔트 콘크리트,원호형,8,5.7,4.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
82,61,와치로,부산광역시,영도구,부산광역시 영도구 와치로 286,부산광역시 영도구 동삼1동 454-34,중리초등학교 앞,아스팔트 콘크리트,원호형,10,8.1,5.9,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
83,62,와치로,부산광역시,영도구,부산광역시 영도구 와치로 259,부산광역시 영도구 동삼동 331-41,동삼중 앞,아스팔트 콘크리트,원호형,8,6,4,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
84,63,와치로,부산광역시,영도구,부산광역시 영도구 중리로 64,부산광역시 영도구 동삼동 510-5,영도중 앞,아스팔트 콘크리트,원호형,10,6.4,4.2,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
85,64,와치로,부산광역시,영도구,부산광역시 영도구 와치로 235,부산광역시 영도구 동삼1동 510-3,조아라유치원 앞,아스팔트 콘크리트,원호형,9,7.7,7.5,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
86,65,와치로,부산광역시,영도구,부산광역시 영도구 근면길 60,부산광역시 영도구 동삼동 323-37,근면길 60,아스팔트 콘크리트,원호형,8,3.8,3.4,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
87,66,동삼서로,부산광역시,영도구,부산광역시 영도구 동삼서로 6-4,부산광역시 영도구 동삼1동 227-219,동삼서로 6-4,아스팔트 콘크리트,원호형,8,6.3,3.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
88,67,웃서발로,부산광역시,영도구,부산광역시 영도구 웃서발로4번길,부산광역시 영도구 동삼3동 229,웃서발로 4번길,아스팔트 콘크리트,원호형,8,5.2,3.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
89,68,웃서발로,부산광역시,영도구,부산광역시 영도구 웃서발로4번길,부산광역시 영도구 동삼3동 229,웃서발로 4번길,아스팔트 콘크리트,원호형,8,5,3.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
90,69,웃서발로,부산광역시,영도구,부산광역시 영도구 웃서발로 24,부산광역시 영도구 동삼동 222-32,웃서발로 24,아스팔트 콘크리트,원호형,8,5.4,4,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
91,70,동삼남로,부산광역시,영도구,부산광역시 영도구 동삼남로 33,부산광역시 영도구 동삼동 322-60,동삼남로 33,아스팔트 콘크리트,원호형,8,7.8,3.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
92,71,동삼남로,부산광역시,영도구,부산광역시 영도구 동삼남로 27-1,부산광역시 영도구 동삼동 322-74,동삼남로 27-1,아스팔트 콘크리트,원호형,10,6.5,3.6,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
93,72,동삼남로,부산광역시,영도구,부산광역시 영도구 동삼남로 9,부산광역시 영도구 동삼동 323-305,동삼남로 9,아스팔트 콘크리트,원호형,8,5.6,3.6,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
94,73,동삼남로,부산광역시,영도구,부산광역시 영도구 동삼남로 11,부산광역시 영도구 동삼1동 323-194,미룡사 앞,아스팔트 콘크리트,원호형,8,7.1,3.6,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
95,74,중리북로,부산광역시,영도구,부산광역시 영도구 중리북로21번길 5,부산광역시 영도구 동삼동 525,부산체고 <-> 부산남고 사이,아스팔트 콘크리트,원호형,0,5.7,3.8,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
96,75,절영로,부산광역시,영도구,부산광역시 영도구 절영로 483,부산광역시 영도구 동삼동 486,어리목 도새기촌 앞,아스팔트 콘크리트,원호형,10,6.7,3.5,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
