,id,left,top,right,bottom,fid,ADM_SECT_C,SGG_NM,SGG_OID,COL_ADM_SE,GID,도로폭_평균,도로길이_평균,신호등개수,어린이보호구역수,교차로수,경사도,과속방지턱개수,안전센터근처여부,2.5도로폭이하개수,출동취약지수,신호현시지수
53,2383,1118712.5608,1673898.552,1119012.5608,1673598.552,14,26440,강서구,33,26440,116,0.21666666666666667,0.0013423156899810963,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.6086576843100189,6.608657684310019
54,2384,1118712.5608,1673598.552,1119012.5608,1673298.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.2,6.2
55,2531,1119012.5608,1685898.552,1119312.5608,1685598.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
56,2532,1119012.5608,1685598.552,1119312.5608,1685298.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
57,2533,1119012.5608,1685298.552,1119312.5608,1684998.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
58,2534,1119012.5608,1684998.552,1119312.5608,1684698.552,14,26440,강서구,33,26440,116,0.4166666666666667,0.025437145557655954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.775437145557656,4.224562854442344
59,2535,1119012.5608,1684698.552,1119312.5608,1684398.552,14,26440,강서구,33,26440,116,0.5,0.01918241965973535,0.021739130434782608,0.0,0.2,0.6,0.0,0.0,0.0,0.5842958412098298,5.692991493383744
60,2536,1119012.5608,1684398.552,1119312.5608,1684098.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.6,5.6
61,2537,1119012.5608,1684098.552,1119312.5608,1683798.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.6,5.6
62,2538,1119012.5608,1683798.552,1119312.5608,1683498.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
63,2539,1119012.5608,1683498.552,1119312.5608,1683198.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
64,2568,1119012.5608,1674798.552,1119312.5608,1674498.552,14,26440,강서구,33,26440,116,0.21666666666666667,0.0013423156899810963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3913423156899811,4.608657684310019
65,2569,1119012.5608,1674498.552,1119312.5608,1674198.552,14,26440,강서구,33,26440,116,0.0625,0.0005293407372400755,0.0,0.0,0.0,0.0,0.0,0.0,0.04938271604938271,0.010427449386216705,5.010427449386217
66,2570,1119012.5608,1674198.552,1119312.5608,1673898.552,14,26440,강서구,33,26440,116,0.21666666666666667,0.0013423156899810963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3913423156899811,4.608657684310019
67,2571,1119012.5608,1673898.552,1119312.5608,1673598.552,14,26440,강서구,33,26440,116,0.21666666666666667,0.0013423156899810963,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.6086576843100189,6.608657684310019
68,2572,1119012.5608,1673598.552,1119312.5608,1673298.552,14,26440,강서구,33,26440,116,0.21666666666666667,0.0013423156899810963,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.8086576843100188,5.808657684310019
69,2573,1119012.5608,1673298.552,1119312.5608,1672998.552,14,26440,강서구,33,26440,116,0.21666666666666667,0.0013423156899810963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3913423156899811,4.608657684310019
70,2574,1119012.5608,1672998.552,1119312.5608,1672698.552,14,26440,강서구,33,26440,116,0.21666666666666667,0.0013423156899810963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3913423156899811,4.608657684310019
71,2578,1119012.5608,1671798.552,1119312.5608,1671498.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
72,2579,1119012.5608,1671498.552,1119312.5608,1671198.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
73,2581,1119012.5608,1670898.552,1119312.5608,1670598.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
74,2582,1119012.5608,1670598.552,1119312.5608,1670298.552,14,26440,강서구,33,26440,116,0.3333333333333333,0.07779773156899811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.677797731568998,4.322202268431002
75,2719,1119312.5608,1685898.552,1119612.5608,1685598.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.2,6.2
76,2720,1119312.5608,1685598.552,1119612.5608,1685298.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.2,6.2
77,2721,1119312.5608,1685298.552,1119612.5608,1684998.552,14,26440,강서구,33,26440,116,0.4166666666666667,0.025437145557655954,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.424562854442344,5.424562854442344
78,2722,1119312.5608,1684998.552,1119612.5608,1684698.552,14,26440,강서구,33,26440,116,0.28888888333333335,0.011483144298204158,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.6685168657017957,5.668516865701796
79,2723,1119312.5608,1684698.552,1119612.5608,1684398.552,14,26440,강서구,33,26440,116,0.4166666666666667,0.008855151228733458,0.0,0.0,0.2,0.07,0.0,0.0,0.0,-0.35885515122873346,4.641144848771266
80,2724,1119312.5608,1684398.552,1119612.5608,1684098.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.6,5.6
81,2725,1119312.5608,1684098.552,1119612.5608,1683798.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.6,5.6
82,2726,1119312.5608,1683798.552,1119612.5608,1683498.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
83,2727,1119312.5608,1683498.552,1119612.5608,1683198.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
84,2728,1119312.5608,1683198.552,1119612.5608,1682898.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
85,2756,1119312.5608,1674798.552,1119612.5608,1674498.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
86,2757,1119312.5608,1674498.552,1119612.5608,1674198.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
87,2758,1119312.5608,1674198.552,1119612.5608,1673898.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
88,2759,1119312.5608,1673898.552,1119612.5608,1673598.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
89,2760,1119312.5608,1673598.552,1119612.5608,1673298.552,14,26440,강서구,33,26440,116,0.21666666666666667,0.0013423156899810963,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.8086576843100188,5.808657684310019
90,2761,1119312.5608,1673298.552,1119612.5608,1672998.552,14,26440,강서구,33,26440,116,0.21666666666666667,0.0013423156899810963,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.8086576843100188,5.808657684310019
91,2762,1119312.5608,1672998.552,1119612.5608,1672698.552,14,26440,강서구,33,26440,116,0.21666666666666667,0.0013423156899810963,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.8086576843100188,5.808657684310019
92,2763,1119312.5608,1672698.552,1119612.5608,1672398.552,14,26440,강서구,33,26440,116,0.21666666666666667,0.0013423156899810963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3913423156899811,4.608657684310019
93,2766,1119312.5608,1671798.552,1119612.5608,1671498.552,14,26440,강서구,33,26440,116,0.21666666666666667,0.0013423156899810963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3913423156899811,4.608657684310019
94,2767,1119312.5608,1671498.552,1119612.5608,1671198.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
95,2769,1119312.5608,1670898.552,1119612.5608,1670598.552,14,26440,강서구,33,26440,116,0.05,0.0013423156899810963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09134231568998111,4.908657684310019
96,2770,1119312.5608,1670598.552,1119612.5608,1670298.552,14,26440,강서구,33,26440,116,0.19166666666666665,0.0395700236294896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38457002362948955,4.6154299763705104
97,2771,1119312.5608,1670298.552,1119612.5608,1669998.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
98,2907,1119612.5608,1685898.552,1119912.5608,1685598.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.2,6.2
99,2908,1119612.5608,1685598.552,1119912.5608,1685298.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.2,6.2
100,2909,1119612.5608,1685298.552,1119912.5608,1684998.552,14,26440,강서구,33,26440,116,0.298675,0.01418999763705104,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.6481950023629488,5.648195002362948
101,2910,1119612.5608,1684998.552,1119912.5608,1684698.552,14,26440,강서구,33,26440,116,0.225,0.004506143667296786,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.7904938563327032,5.790493856332703
102,2911,1119612.5608,1684698.552,1119912.5608,1684398.552,14,26440,강서구,33,26440,116,0.5833333333333334,0.012927693761814744,0.0,0.0,0.0,0.07,0.0,0.0,0.0,-0.9229276937618148,4.077072306238185
103,2912,1119612.5608,1684398.552,1119912.5608,1684098.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.6,5.6
104,2913,1119612.5608,1684098.552,1119912.5608,1683798.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
105,2914,1119612.5608,1683798.552,1119912.5608,1683498.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
106,2915,1119612.5608,1683498.552,1119912.5608,1683198.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
107,2916,1119612.5608,1683198.552,1119912.5608,1682898.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
108,2917,1119612.5608,1682898.552,1119912.5608,1682598.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
109,2944,1119612.5608,1674798.552,1119912.5608,1674498.552,14,26440,강서구,33,26440,116,0.21666666666666667,0.0013423156899810963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3913423156899811,4.608657684310019
110,2945,1119612.5608,1674498.552,1119912.5608,1674198.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
111,2946,1119612.5608,1674198.552,1119912.5608,1673898.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
112,2947,1119612.5608,1673898.552,1119912.5608,1673598.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
113,2948,1119612.5608,1673598.552,1119912.5608,1673298.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.2,6.2
114,2949,1119612.5608,1673298.552,1119912.5608,1672998.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.2,6.2
115,2950,1119612.5608,1672998.552,1119912.5608,1672698.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.2,6.2
116,2951,1119612.5608,1672698.552,1119912.5608,1672398.552,14,26440,강서구,33,26440,116,0.1433333333333333,0.0006709286389413988,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.9413290713610586,5.941329071361059
117,2952,1119612.5608,1672398.552,1119912.5608,1672098.552,14,26440,강서구,33,26440,116,0.08805,0.0005359546313799621,0.0,0.0,0.0,0.0,0.0,0.0,0.06172839506172839,-0.004704966977059003,4.995295033022941
118,2953,1119612.5608,1672098.552,1119912.5608,1671798.552,14,26440,강서구,33,26440,116,0.06666666666666667,0.0009408830671077503,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,-0.028348290474515158,4.971651709525485
119,2954,1119612.5608,1671798.552,1119912.5608,1671498.552,14,26440,강서구,33,26440,116,0.2,0.0019329725897920603,0.021739130434782608,0.0,0.2,0.0,0.0,0.0,0.0,-0.058454711720226905,5.050240940453687
120,2955,1119612.5608,1671498.552,1119912.5608,1671198.552,14,26440,강서구,33,26440,116,0.09444445,0.0014448629489603024,0.0,0.0,0.0,0.0,0.0,0.0,0.024691358024691357,-0.10971647788723192,4.890283522112768
121,2956,1119612.5608,1671198.552,1119912.5608,1670898.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
122,2957,1119612.5608,1670898.552,1119912.5608,1670598.552,14,26440,강서구,33,26440,116,0.19166666666666665,0.0395700236294896,0.0,0.0,0.0,0.07,0.0,0.0,0.0,-0.24457002362948957,4.75542997637051
123,2958,1119612.5608,1670598.552,1119912.5608,1670298.552,14,26440,강서구,33,26440,116,0.2,0.02682745431710775,0.0,0.0,0.0,0.07,0.0,0.0,0.0,-0.2468274543171078,4.753172545682892
124,2959,1119612.5608,1670298.552,1119912.5608,1669998.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
125,3095,1119912.5608,1685898.552,1120212.5608,1685598.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.2,6.2
126,3096,1119912.5608,1685598.552,1120212.5608,1685298.552,14,26440,강서구,33,26440,116,0.4166666666666667,0.025437145557655954,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.424562854442344,5.424562854442344
127,3097,1119912.5608,1685298.552,1120212.5608,1684998.552,14,26440,강서구,33,26440,116,0.298675,0.01418999763705104,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.6481950023629488,5.648195002362948
128,3098,1119912.5608,1684998.552,1120212.5608,1684698.552,14,26440,강서구,33,26440,116,0.21022778333333333,0.003985045682892249,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.8176049443171076,5.817604944317107
129,3099,1119912.5608,1684698.552,1120212.5608,1684398.552,14,26440,강서구,33,26440,116,0.5833333333333334,0.012927693761814744,0.0,0.0,0.2,0.07,0.0,0.0,0.0,-0.6629276937618148,4.337072306238185
130,3100,1119912.5608,1684398.552,1120212.5608,1684098.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.6,5.6
131,3101,1119912.5608,1684098.552,1120212.5608,1683798.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.2,6.2
132,3102,1119912.5608,1683798.552,1120212.5608,1683498.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
133,3103,1119912.5608,1683498.552,1120212.5608,1683198.552,14,26440,강서구,33,26440,116,0.3333333333333333,0.0040335538752362945,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3959664461247636,6.395966446124763
134,3104,1119912.5608,1683198.552,1120212.5608,1682898.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
135,3105,1119912.5608,1682898.552,1120212.5608,1682598.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
136,3132,1119912.5608,1674798.552,1120212.5608,1674498.552,14,26440,강서구,33,26440,116,0.21666666666666667,0.0013423156899810963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3913423156899811,4.608657684310019
137,3133,1119912.5608,1674498.552,1120212.5608,1674198.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
138,3134,1119912.5608,1674198.552,1120212.5608,1673898.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
139,3135,1119912.5608,1673898.552,1120212.5608,1673598.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
